,x
glückseligkeit,-0.518184851518185
grausam,-0.502168835502169
schwachheit,-0.438772105438772
überreden,-0.434100767434101
mitleiden,-0.411244577911245
begierde,-0.404070737404071
dergleich,-0.400567233900567
stiften,-0.400567233900567
exempel,-0.388221554888221
gewahr,-0.378878878878879
gehorsam,-0.376543209876543
schauplatz,-0.375875875875876
belohnung,-0.365365365365365
anschlag,-0.362362362362362
empfindung,-0.35985985985986
aufbringen,-0.352352352352352
sachten,-0.347180513847181
liebenswürdig,-0.345845845845846
stillschweigen,-0.341841841841842
beklagen,-0.337003670337004
zärtlichkeit,-0.332332332332332
allerliebst,-0.330163496830163
verlust,-0.329329329329329
verzweifelt,-0.323656990323657
vorgehen,-0.321154487821155
befriedigen,-0.319986653319987
händen,-0.318818818818819
beschämen,-0.315982649315983
redlichkeit,-0.315982649315983
bestreben,-0.314814814814815
vermuten,-0.314647981314648
wohltat,-0.311811811811812
einbilden,-0.309476142809476
laster,-0.307640974307641
geheimnisse,-0.304804804804805
aussetzen,-0.300633967300634
grillen,-0.300133466800133
redlich,-0.299466132799466
vorzug,-0.297797797797798
rechtschaffen,-0.295962629295963
würdest,-0.295462128795462
ausmachen,-0.294794794794795
vernünftig,-0.294127460794127
hochachtung,-0.293126459793126
närrin,-0.291291291291291
antreffen,-0.290123456790123
hintergangen,-0.289622956289623
anbeten,-0.288955622288956
allezeit,-0.288455121788455
hintergehen,-0.287787787787788
geschwind,-0.286453119786453
kleinigkeit,-0.284117450784118
gerechtigkeit,-0.28345011678345
aufopfern,-0.283116449783116
dächen,-0.28294961628295
schimpf,-0.282449115782449
gegenwärtig,-0.281281281281281
entzückung,-0.279612946279613
vorsatz,-0.279446112779446
schöpfer,-0.277777777777778
ansehnlich,-0.277277277277277
zärtlich,-0.276443109776443
beistehen,-0.276109442776109
edelmann,-0.275442108775442
tugendhaft,-0.274274274274274
verwahren,-0.273606940273607
erzeigen,-0.271938605271939
veränderung,-0.271271271271271
urteilen,-0.271271271271271
gütigkeit,-0.27027027027027
überlassen,-0.269936603269937
großmut,-0.268268268268268
bedauern,-0.268268268268268
vorurteil,-0.267767767767768
heftigkeit,-0.267767767767768
glücke,-0.2665999332666
weggehen,-0.266099432766099
vorhaben,-0.266099432766099
angenehm,-0.265932599265933
vorsehung,-0.264931598264932
vortrefflich,-0.264764764764765
einnehmen,-0.264764764764765
mangeln,-0.264264264264264
deinig,-0.264264264264264
seufzen,-0.263596930263597
marter,-0.263096429763096
erstaunen,-0.26292959626293
erniedrigung,-0.262595929262596
wiederkommen,-0.262429095762429
kummer,-0.261761761761762
anstalt,-0.261261261261261
verdienst,-0.261094427761094
hereintret,-0.26026026026026
feurig,-0.258925592258926
menschlichkeit,-0.258425091758425
grille,-0.257757757757758
bedenke,-0.256089422756089
meinig,-0.255422088755422
ander,-0.254921588254922
väterlich,-0.254754754754755
stande,-0.254254254254254
bestes,-0.254254254254254
wiedergeben,-0.254254254254254
belohnen,-0.254087420754087
niederschlagen,-0.253086419753086
ihrig,-0.251751751751752
beutel,-0.251251251251251
umgehen,-0.251251251251251
gefährlich,-0.251251251251251
mode,-0.251251251251251
gottheit,-0.250083416750083
verführen,-0.249416082749416
widerstehen,-0.248915582248916
stärke,-0.248248248248248
aufräumen,-0.247914581247915
aufgeopferen,-0.247914581247915
ankündigen,-0.247247247247247
unvermutet,-0.246746746746747
angehen,-0.24657991324658
erhaltung,-0.245578912245579
erlangen,-0.245412078745412
geburt,-0.244744744744745
erkaufen,-0.244244244244244
abscheu,-0.244244244244244
gewissen,-0.243743743743744
fürsten,-0.242575909242576
bestürmen,-0.242575909242576
wüßten,-0.241908575241909
gebeine,-0.241408074741408
geschicklichkeit,-0.241408074741408
vorstellen,-0.240573907240574
umfassen,-0.240573907240574
verabscheuen,-0.24024024024024
unschuldig,-0.238238238238238
torheiten,-0.237904571237905
erkundigen,-0.237237237237237
gehöret,-0.236736736736737
ungewißheit,-0.236736736736737
vorschlagen,-0.236736736736737
umstand,-0.23656990323657
freundin,-0.235902569235903
geschmack,-0.235902569235903
gering,-0.235235235235235
bewunderung,-0.234901568234902
empfindlich,-0.234401067734401
streiche,-0.234234234234234
standhaftigkeit,-0.233233233233233
höflichkeit,-0.233066399733066
aufhalten,-0.232399065732399
erraten,-0.232399065732399
besänftigen,-0.231898565231899
monarch,-0.231398064731398
vergebung,-0.231231231231231
andenken,-0.230730730730731
